real_price,theme_cat,theme_lic
20.7,Junior,FALSE
53.41,Junior,FALSE
13.15,Junior,FALSE
25.88,Junior,FALSE
21.36,Junior,FALSE
119.28,Junior,FALSE
17.1,Junior,FALSE
41.95,Junior,FALSE
131.9,Junior,FALSE
18.5,Junior,FALSE
11.61,Junior,FALSE
19.99,Junior,TRUE
35.5,Junior,FALSE
27.06,Junior,TRUE
13.53,Junior,TRUE
32.47,Junior,TRUE
54.11,Junior,TRUE
280.88,Junior,FALSE
22.93,Junior,FALSE
12.66,Junior,FALSE
23,Junior,TRUE
49.81,Junior,FALSE
9.99,Junior,FALSE
86.58,Junior,FALSE
82.3,Junior,FALSE
10.16,Junior,FALSE
13.53,Junior,FALSE
10.39,Junior,FALSE
29.82,Junior,FALSE
33.69,Junior,FALSE
39.46,Junior,FALSE
32.56,Junior,FALSE
17.89,Junior,FALSE
64.75,Junior,FALSE
10.36,Junior,FALSE
13.53,Junior,FALSE
25.36,Junior,FALSE
34.99,Junior,FALSE
19.99,Junior,FALSE
19.99,Junior,FALSE
25.36,Junior,FALSE
31.06,Junior,FALSE
12.99,Junior,FALSE
15.52,Junior,FALSE
16.28,Junior,FALSE
19.99,Junior,FALSE
24.99,Junior,FALSE
11.56,Junior,FALSE
15.49,Junior,FALSE
24.99,Junior,FALSE
20.7,Junior,FALSE
14.99,Junior,FALSE
11.92,Junior,FALSE
18.38,Junior,FALSE
44.99,Junior,FALSE
25.88,Junior,FALSE
132.04,Junior,FALSE
32.45,Junior,FALSE
25.17,Junior,FALSE
67.64,Junior,FALSE
17.1,Junior,FALSE
6.48,Junior,FALSE
25.9,Junior,TRUE
12.95,Junior,TRUE
24.99,Junior,FALSE
12.95,Junior,TRUE
19.43,Junior,TRUE
19.99,Junior,FALSE
67.99,Junior,FALSE
10.35,Junior,FALSE
14.15,Junior,FALSE
25.9,Junior,FALSE
25.9,Junior,FALSE
25.9,Junior,TRUE
16.03,Junior,FALSE
22.46,Junior,FALSE
8.11,Junior,FALSE
12.99,Junior,FALSE
21.63,Junior,FALSE
11.93,Junior,FALSE
26.7,Junior,FALSE
29.99,Junior,FALSE
27.14,Junior,FALSE
60.87,Junior,FALSE
19.73,Junior,FALSE
15.21,Junior,FALSE
24.66,Junior,FALSE
46.21,Junior,FALSE
21.36,Junior,FALSE
47.7,Junior,FALSE
59.99,Junior,FALSE
146.66,Junior,FALSE
94.7,Junior,FALSE
21.44,Junior,FALSE
8.12,Junior,FALSE
13.15,Junior,FALSE
11.93,Junior,FALSE
31.06,Junior,FALSE
26.7,Junior,FALSE
32.66,Junior,FALSE
30.83,Junior,FALSE
64.75,Junior,FALSE
34.58,Junior,FALSE
82.3,Junior,FALSE
59.51,Junior,FALSE
32.38,Junior,FALSE
32.56,Junior,FALSE
29.99,Junior,FALSE
5.18,Junior,FALSE
50.65,Junior,FALSE
57.78,Junior,FALSE
10.35,Junior,FALSE
28.08,Junior,FALSE
9.21,Junior,FALSE
5.26,Junior,FALSE
13.68,Junior,FALSE
92.08,Junior,FALSE
3.8,Junior,FALSE
8.67,Junior,FALSE
43.27,Junior,FALSE
49.33,Junior,FALSE
21.77,Junior,FALSE
6.15,Junior,FALSE
29.99,Junior,FALSE
29.03,Junior,FALSE
8.39,Junior,FALSE
20.97,Junior,FALSE
13.98,Junior,FALSE
11.19,Junior,FALSE
27.06,Junior,FALSE
11.93,Junior,FALSE
10.85,Junior,FALSE
24.66,Junior,FALSE
11.22,Junior,FALSE
22.46,Junior,FALSE
44.93,Junior,FALSE
9.54,Junior,FALSE
15.51,Junior,FALSE
95.41,Junior,FALSE
24.66,Junior,FALSE
20.29,Junior,FALSE
22.27,Junior,FALSE
32.24,Junior,FALSE
69.32,Junior,FALSE
31.66,Junior,FALSE
26.31,Junior,FALSE
29.99,Junior,FALSE
25.36,Junior,FALSE
32.38,Junior,FALSE
14.85,Junior,FALSE
18.58,Junior,FALSE
27.06,Junior,FALSE
14.99,Junior,FALSE
9.07,Junior,FALSE
39.99,Junior,TRUE
3.99,Junior,TRUE
33.82,Junior,FALSE
15.21,Junior,FALSE
12.95,Junior,FALSE
5.18,Junior,FALSE
46.04,Junior,FALSE
215.28,Junior,FALSE
9.21,Junior,FALSE
67.64,Junior,FALSE
160.2,Junior,FALSE
25.9,Junior,FALSE
19,Junior,FALSE
24.99,Junior,FALSE
42.72,Junior,FALSE
16.84,Junior,FALSE
12.95,Junior,FALSE
189.95,Junior,FALSE
189.95,Junior,FALSE
17.89,Junior,FALSE
14.59,Junior,FALSE
39.46,Junior,FALSE
62.83,Junior,FALSE
71.23,Junior,FALSE
19.99,Junior,FALSE
25.17,Junior,FALSE
35.77,Junior,FALSE
21.71,Junior,FALSE
13.15,Junior,FALSE
23.1,Junior,FALSE
27.04,Junior,FALSE
78.9,Junior,FALSE
12.95,Junior,FALSE
15.51,Junior,FALSE
23.1,Junior,FALSE
35.5,Junior,FALSE
146.59,Junior,FALSE
39.99,Junior,FALSE
37,Junior,FALSE
34.99,Junior,FALSE
13.18,Junior,FALSE
12.99,Junior,TRUE
23.68,Junior,FALSE
43.43,Junior,FALSE
12.33,Junior,FALSE
15.21,Junior,FALSE
49.99,Junior,FALSE
24.99,Junior,FALSE
13.15,Junior,FALSE
12.95,Junior,FALSE
76.43,Junior,FALSE
20.29,Junior,FALSE
19.73,Junior,FALSE
6.17,Junior,FALSE
33.69,Junior,FALSE
12.99,Junior,FALSE
34.3,Junior,FALSE
6.33,Junior,FALSE
6.48,Junior,FALSE
12.95,Junior,FALSE
29.03,Junior,FALSE
8.86,Junior,FALSE
5.81,Junior,FALSE
12.33,Junior,FALSE
27.97,Junior,FALSE
13.06,Junior,FALSE
30.83,Junior,FALSE
10.36,Junior,FALSE
18.58,Junior,FALSE
21.71,Junior,FALSE
23.86,Junior,FALSE
64.09,Junior,FALSE
12.95,Junior,FALSE
64.75,Junior,FALSE
12.95,Junior,FALSE
12.95,Junior,FALSE
12.95,Junior,FALSE
12.95,Junior,FALSE
115.95,Junior,FALSE
8.04,Junior,FALSE
28.58,Junior,FALSE
7.6,Junior,FALSE
5.18,Junior,FALSE
19.99,Junior,FALSE
43.27,Junior,FALSE
12.18,Junior,FALSE
19,Junior,FALSE
27.04,Junior,FALSE
51.8,Junior,TRUE
6.76,Junior,FALSE
253.27,Junior,FALSE
253.27,Junior,FALSE
24.66,Junior,FALSE
12,Junior,FALSE
12,Junior,FALSE
12,Junior,FALSE
12,Junior,FALSE
69.65,Junior,FALSE
13.15,Junior,FALSE
91.31,Junior,FALSE
13.98,Junior,FALSE
97.99,Junior,FALSE
37.38,Junior,FALSE
29.99,Junior,FALSE
13.53,Junior,FALSE
55.93,Junior,FALSE
51.77,Junior,FALSE
14.99,Junior,FALSE
21.77,Junior,FALSE
13.98,Junior,FALSE
13.98,Junior,FALSE
32.56,Junior,FALSE
83.5,Junior,FALSE
